Publication Date,News Source,Full News Article Text,Speech Full Text,Bond Yield (10Y Treasury),Fiscal Deficit (%),Unemployment Rate,Consumer Confidence Index,Crude Oil Prices (USD/Barrel),Gold Prices (USD/Oz),S&P 500 Change (%),VIX Value,Stock Market Index,Stock Market Return (%),Market Trading Volume,Twitter Discussions,Trending Keywords & Hashtags,Google Search Trends,Event Type,Foreign Exchange Rate,GDP Growth (%),Interest Rate (%),Inflation Rate (%),Sector Impact,Stock Market Before News (%),Stock Market After News (%),News Sentiment,News Sentiment Score,Speech Sentiment,Speech Sentiment Score,Trending_Negative,Trending_Positive,SearchTrends_Negative,SearchTrends_Positive,News_Polarity,News_Subjectivity,Speech_Polarity,Speech_Subjectivity,Combined_Text,Topic,Topic Name,Topic Words,Event_Type_Mean,Predicted_GDP
2022-07-06,Financial Times,Federal Reserve signals potential rate hike to combat inflation pressures.,Rising bond yields indicate market expectations of an interest rate hike.,0.7001201724982015,9.88,0.1846492093560699,85.8,-0.200514995682413,0.3897358062025866,0.2,33.73,NIFTY 50,-0.36,3232366.0,Trending on Twitter: #OilPrices,Economic Slowdown,Gold Price Trends,Central Bank Speech,0.2219820645706002,-1.1004600445409398,0.2599881622809919,0.7725899302844228,Finance,-0.97,4.45,positive,-0.3401840797945281,positive,0.9150083661079408,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Federal Reserve signals potential rate hike to combat inflation pressures. Rising bond yields indicate market expectations of an interest rate hike.,15.0,hike,"signals, reserve, pressures, potential, federal, combat, hike, rate, to, inflation",252.586874298541,
2022-07-07,Bloomberg,Global inflation concerns rise as central banks consider interest rate hikes.,Rising bond yields indicate market expectations of an interest rate hike.,-1.501308941326629,7.14,-0.87499163303456,71.2,1.448842894884432,-1.2004032589975095,2.52,21.56,S&P 500,1.45,36618006.0,Trending on Twitter: #StockMarketCrash,Inflation Surge,Recession Risks,Market Shock,0.3791450485064862,-0.2123916771556172,-0.907118482171728,-1.2475050688466651,Technology,2.93,3.69,negative,-1.6532702115706648,positive,0.9150083661079408,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.0,Global inflation concerns rise as central banks consider interest rate hikes. Rising bond yields indicate market expectations of an interest rate hike.,5.0,rate,"rise, global, hikes, banks, consider, central, concerns, rate, as, interest",250.6457613168724,
2022-07-08,Bloomberg,Federal Reserve signals potential rate hike to combat inflation pressures.,"The risks of inflation remain elevated, and we might have to adjust interest rates accordingly.",1.7252632822196146,6.89,0.6682801579343569,87.5,-1.2373345214390836,-1.5857217742682346,4.86,34.22,NIFTY 50,0.17,3232366.0,Trending on Twitter: #OilPrices,Inflation Surge,Stock Market News,Central Bank Speech,0.2369499678025896,-0.4741381433323438,-0.9412222477563852,-0.6067700911486991,Consumer Goods,-2.02,3.07,positive,-0.3401840797945281,negative,0.5345921516418457,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Federal Reserve signals potential rate hike to combat inflation pressures. The risks of inflation remain elevated, and we might have to adjust interest rates accordingly.",8.0,signals,"signals, reserve, pressures, potential, federal, combat, hike, rate, to, inflation",252.586874298541,
2022-07-09,Bloomberg,India’s fiscal deficit widens as government spending increases to boost growth.,"Consumer confidence may decline if inflation persists, affecting market stability.",1.3966917726935206,5.8,-0.9673705782686148,82.8,1.3687633380170467,-0.7486243841149269,2.48,24.02,S&P 500,1.98,7018157.0,Trending on Twitter: #Recession,Inflation Surge,Recession Risks,Economic Report,0.5270970150688399,-0.2809443230590456,-0.3387223890941045,-1.1466486371719853,Technology,1.35,4.31,positive,0.8242669201582642,negative,0.9654151201248168,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"India’s fiscal deficit widens as government spending increases to boost growth. Consumer confidence may decline if inflation persists, affecting market stability.",1.0,affecting,"spending, indias, widens, boost, government, increases, fiscal, deficit, as, growth",253.5424904214559,
2022-07-10,Bloomberg,Stock markets tumble amid fears of an economic slowdown and recession risks.,Rising bond yields indicate market expectations of an interest rate hike.,-0.4761658316052153,3.95,-0.6467612977504243,119.6,0.6701745721870942,0.9909434023740978,-2.82,21.43,S&P 500,-2.75,3232366.0,Trending on Twitter: #StockMarketCrash,Economic Slowdown,Recession Risks,Policy Announcement,0.4793148624436439,1.601137409925988,-0.9791153206282268,-1.2593705313966277,Energy,0.41,-0.81,negative,0.8341544318624605,positive,0.9150083661079408,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Stock markets tumble amid fears of an economic slowdown and recession risks. Rising bond yields indicate market expectations of an interest rate hike.,16.0,bond,"tumble, fears, slowdown, stock, markets, amid, an, economic, recession, and",253.09607602339184,
2022-07-11,CNBC,Global inflation concerns rise as central banks consider interest rate hikes.,"The risks of inflation remain elevated, and we might have to adjust interest rates accordingly.",1.3506917613598672,5.2,-1.4944739716629287,80.2,-0.1376455190189837,-0.3294990622196287,-4.62,34.22,S&P 500,2.98,35575865.0,Trending on Twitter: #OilPrices,Market Volatility,Recession Risks,Geopolitical Event,0.4108079207280014,-0.2871763817775392,-0.3728261546787619,1.0395628376585755,Healthcare,3.89,-1.84,negative,-1.6532702115706648,negative,0.5345921516418457,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.0,"Global inflation concerns rise as central banks consider interest rate hikes. The risks of inflation remain elevated, and we might have to adjust interest rates accordingly.",9.0,consider,"rise, global, hikes, banks, consider, central, concerns, rate, as, interest",255.35009491903963,
2022-07-12,Reuters,Global inflation concerns rise as central banks consider interest rate hikes.,Rising bond yields indicate market expectations of an interest rate hike.,-1.4093089186593226,8.86,-1.0651835791046735,112.4,-0.0329801332888047,1.4430188281919838,-4.71,26.9,NIFTY 50,-0.67,5739577.0,Trending on Twitter: #Recession,Inflation Surge,Interest Rate Forecast,Policy Announcement,0.0446699801301138,1.6167175567222218,-1.2443668307311178,-1.3839578881712322,Healthcare,-2.0,2.47,negative,-1.6532702115706648,positive,0.9150083661079408,0.0,0.0,0.0,0.6,0.0,0.125,0.0,0.0,Global inflation concerns rise as central banks consider interest rate hikes. Rising bond yields indicate market expectations of an interest rate hike.,5.0,rate,"rise, global, hikes, banks, consider, central, concerns, rate, as, interest",253.09607602339184,
2022-07-13,CNBC,"Crude oil prices surge amid geopolitical tensions, raising concerns for emerging markets.",There is a possibility that economic recession might occur if growth slows further.,0.3124057912574099,8.93,1.314932774572742,106.4,1.030181351963716,1.1587582816518311,3.1,31.7,NIFTY 50,0.1,33335744.0,Trending on Twitter: #StockMarketCrash,Market Volatility,Gold Price Trends,Policy Announcement,0.6255397632484611,-1.5429362135539777,0.070522797921784,-1.2593705313966277,Technology,3.6,3.68,negative,-0.3591873709943405,negative,0.9595176577568054,0.0,0.0,0.0,0.0,-0.7,1.0,0.1,0.35,"Crude oil prices surge amid geopolitical tensions, raising concerns for emerging markets. There is a possibility that economic recession might occur if growth slows further.",7.0,crude,"oil, prices, emerging, crude, geopolitical, tensions, surge, raising, for, amid",253.09607602339184,
2022-07-14,Reuters,"Crude oil prices surge amid geopolitical tensions, raising concerns for emerging markets.",Rising bond yields indicate market expectations of an interest rate hike.,1.3375489009788235,6.71,-1.527078305274948,66.9,-0.0849616000272829,1.5932713020789775,-2.69,27.88,NIFTY 50,1.2,33335744.0,Trending on Twitter: #StockMarketCrash,Market Volatility,Stock Market News,Market Shock,0.0671218349780976,1.2303299161756254,-0.6949172740894152,0.6005407233099689,Finance,-2.44,-3.56,negative,-0.3591873709943405,positive,0.9150083661079408,0.0,0.0,0.0,0.0,-0.7,1.0,0.0,0.0,"Crude oil prices surge amid geopolitical tensions, raising concerns for emerging markets. Rising bond yields indicate market expectations of an interest rate hike.",17.0,crude,"oil, prices, emerging, crude, geopolitical, tensions, surge, raising, for, amid",250.6457613168724,
2022-07-15,CNBC,Federal Reserve signals potential rate hike to combat inflation pressures.,We acknowledge the growing fiscal deficit and the risks associated with it.,1.6924061312670051,5.56,-1.434699360040893,56.5,1.7494924592637373,0.941386446074528,-4.32,20.43,S&P 500,2.46,11604465.0,Trending on Twitter: #OilPrices,Inflation Surge,Stock Market News,Economic Report,0.1690187146727926,0.0275425835063819,-1.0359549299359894,-1.3097987472339676,Healthcare,1.25,3.19,positive,-0.3401840797945281,neutral,0.5398065447807312,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Federal Reserve signals potential rate hike to combat inflation pressures. We acknowledge the growing fiscal deficit and the risks associated with it.,13.0,associated,"signals, reserve, pressures, potential, federal, combat, hike, rate, to, inflation",253.5424904214559,
2022-07-16,Reuters,India’s fiscal deficit widens as government spending increases to boost growth.,There is a possibility that economic recession might occur if growth slows further.,-1.3830231978972352,3.33,1.662712333100948,83.5,-0.922987138121936,0.9045811799929988,-2.07,21.56,S&P 500,2.66,26580664.0,Trending on Twitter: #Recession,Market Volatility,Interest Rate Forecast,Market Shock,0.1108741675023738,1.6634579971109231,-1.1344769194027773,0.8230181461217627,Energy,4.42,4.93,positive,0.8242669201582642,negative,0.9595176577568054,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.35,India’s fiscal deficit widens as government spending increases to boost growth. There is a possibility that economic recession might occur if growth slows further.,2.0,growth,"spending, indias, widens, boost, government, increases, fiscal, deficit, as, growth",250.6457613168724,
2022-07-17,The Economic Times,Global inflation concerns rise as central banks consider interest rate hikes.,There is a possibility that economic recession might occur if growth slows further.,-1.4027374884688006,9.13,1.5540312210608838,68.5,-1.269998551213938,0.9465596123903748,4.33,31.7,S&P 500,-2.73,6824272.0,Trending on Twitter: #OilPrices,Economic Slowdown,Stock Market News,Market Shock,0.4689524678984211,-1.2032890133960823,0.2524095477066237,1.208645678995539,Healthcare,2.24,1.77,negative,-1.6532702115706648,negative,0.9595176577568054,0.0,0.0,0.0,0.0,0.0,0.125,0.1,0.35,Global inflation concerns rise as central banks consider interest rate hikes. There is a possibility that economic recession might occur if growth slows further.,18.0,hikes,"rise, global, hikes, banks, consider, central, concerns, rate, as, interest",250.6457613168724,
2022-07-18,Reuters,Global inflation concerns rise as central banks consider interest rate hikes.,"Consumer confidence may decline if inflation persists, affecting market stability.",1.0286916820242955,3.64,-0.4511352960783083,108.6,1.8727728297043165,-0.6001182657358303,4.45,19.09,NIFTY 50,-2.39,8906408.0,Trending on Twitter: #StockMarketCrash,Interest Rate Hike,Gold Price Trends,Central Bank Speech,0.183410929318936,0.5416874277820948,0.8132270262098789,-0.8292475139604929,Consumer Goods,-2.95,-3.75,negative,-1.6532702115706648,negative,0.9654151201248168,0.0,0.6,0.0,0.0,0.0,0.125,0.0,0.0,"Global inflation concerns rise as central banks consider interest rate hikes. Consumer confidence may decline if inflation persists, affecting market stability.",3.0,rise,"rise, global, hikes, banks, consider, central, concerns, rate, as, interest",252.586874298541,
2022-07-19,CNBC,India’s fiscal deficit widens as government spending increases to boost growth.,There is a possibility that economic recession might occur if growth slows further.,0.3846915233531509,4.99,1.5051247206428549,119.1,1.2623418216538111,-0.6012715193731205,2.5,39.36,NIFTY 50,0.87,22240063.0,Trending on Twitter: #InterestRateHike,Interest Rate Hike,Stock Market News,Market Shock,-0.1821513226931054,0.1303715523615245,0.5214503650966991,0.1140567587615129,Technology,4.71,3.12,positive,0.8242669201582642,negative,0.9595176577568054,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.35,India’s fiscal deficit widens as government spending increases to boost growth. There is a possibility that economic recession might occur if growth slows further.,2.0,growth,"spending, indias, widens, boost, government, increases, fiscal, deficit, as, growth",250.6457613168724,
2022-07-20,Reuters,Global inflation concerns rise as central banks consider interest rate hikes.,"Consumer confidence may decline if inflation persists, affecting market stability.",-0.7127373184640032,7.52,-0.9728046338706184,54.2,1.338909117255083,0.2083454841087495,-0.09,21.43,NIFTY 50,-0.54,44312651.0,Trending on Twitter: #StockMarketCrash,Economic Slowdown,Recession Risks,Central Bank Speech,0.0987847071996129,0.5821958094523024,-0.8048071854177555,1.087024687858425,Finance,3.72,-3.75,negative,-1.6532702115706648,negative,0.9654151201248168,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.0,"Global inflation concerns rise as central banks consider interest rate hikes. Consumer confidence may decline if inflation persists, affecting market stability.",3.0,rise,"rise, global, hikes, banks, consider, central, concerns, rate, as, interest",252.586874298541,
